"cluster","LATNUM","LONGNUM","dept_id","wealth_mean","n_hh","dept_name"
1,13.830305,9.477322,"NE007002",-50821.2105263158,19,"Damagaram Takaya"
2,13.81678,9.003385,"NE007011",-31960.4761904762,21,"Ville de Zinder"
3,14.618994,8.526407,"NE007009",-59507.96,25,"Tanout"
4,14.260228,7.717057,"NE004008",-53447.3913043478,23,"Mayahi"
5,14.036117,11.582362,"NE002003",2248.88,25,"Goudoumaria"
6,14.421501,6.056261,"NE005004",-51886.5416666667,24,"Bouza"
7,14.472875,5.242637,"NE005005",-20178.0833333333,24,"Illéla"
8,13.795873,4.084311,"NE003003",-56259.3846153846,13,"Dogondoutchi"
9,13.625732,12.723801,"NE002002",-52811.7619047619,21,"Diffa"
10,14.041834,6.047022,"NE005007",-59001.0416666667,24,"Madaoua"
11,13.93857,3.209863,"NE006006",-56564.6666666667,21,"Filingué"
12,14.05319,5.984054,"NE005007",-47085.4,25,"Madaoua"
13,14.425622,6.065801,"NE005004",-39979.5416666667,24,"Bouza"
14,14.513605,5.481203,"NE005006",-2064.70833333333,24,"Keita"
15,13.554312,2.104359,"NE008001",219358.4,25,"Ville de Niamey"
16,15.501639,7.951191,"NE007001",-65559.9473684211,19,"Belbedji"
17,14.785805,7.533823,"NE004003",-54078.125,24,"Dakoro"
18,13.507581,2.129718,"NE008001",222150.25,20,"Ville de Niamey"
19,13.802641,9.315335,"NE007007",-52094.4347826087,23,"Mirriah"
20,16.963079,8.001711,"NE001006",5295.41666666667,24,"Tchirozerine"
21,13.766867,7.979774,"NE004009",122854.708333333,24,"Tessaoua"
22,12.943482,3.310956,"NE003004",-54466.4545454545,22,"Dosso"
23,13.098556,2.368993,"NE006010",-23637.6666666667,21,"Say"
24,13.865838,8.453234,"NE004009",-58532.6956521739,23,"Tessaoua"
25,13.512132,2.119883,"NE008001",192880.24,25,"Ville de Niamey"
26,14.823653,8.883408,"NE007009",-57120.5,24,"Tanout"
27,13.652924,8.641508,"NE007005",-47677.68,25,"Kantché"
28,13.518032,2.122797,"NE008001",82096.44,25,"Ville de Niamey"
29,15.319232,5.334692,"NE005011",-61060.76,25,"Tchintabaraden"
30,13.712981,9.14896,"NE007007",99959.32,25,"Mirriah"
31,13.534513,2.095603,"NE008001",122195.727272727,22,"Ville de Niamey"
32,14.481675,5.222166,"NE005005",-42013.68,25,"Illéla"
33,13.888014,1.235421,"NE006007",-37252.2272727273,22,"Gothèye"
34,13.712949,9.155118,"NE007007",65325.347826087,23,"Mirriah"
35,13.331473,12.560429,"NE002002",-47637.625,24,"Diffa"
36,15.078166,5.172603,"NE005009",-54818.25,24,"Tahoua"
37,14.374932,4.888981,"NE005002",-51421.2916666667,24,"Bagaroua"
38,13.468095,7.913569,"NE004004",-29947.4347826087,23,"Gazaoua"
39,13.644878,4.069094,"NE003003",-48460.9090909091,22,"Dogondoutchi"
40,13.298328,8.757253,"NE007005",-38885.8695652174,23,"Kantché"
41,14.105708,9.54517,"NE007002",-51597.05,20,"Damagaram Takaya"
42,13.501267,7.094106,"NE004007",46664.4583333333,24,"Ville de Maradi"
43,14.259683,6.201667,"NE005004",-51334.8,25,"Bouza"
44,14.968218,6.675877,"NE004002",-52539.0454545455,22,"Bermo"
45,13.824816,6.494614,"NE004005",-44237.24,25,"Guidan Roumdji"
46,14.205015,0.92055,"NE006011",-51256.92,25,"Téra"
