"dept_id","dept_name","region_name","n_hh","n_clusters","urban_pct","direct_mean","se_direct","cv_direct","psi"
"NE001001","Aderbissinat","Agadez",66,3,0,-68608.3531440956,319.024128722634,0.464993129994826,101776.394707236
"NE001002","Arlit","Agadez",229,10,54.1578017469209,98212.3946247121,46898.6623916903,47.752284801627,2199484534.12975
"NE001004","Iferouane","Agadez",20,1,0,-32861.85,5.91171556152406e-12,1.79896005901191e-14,3.49483808803657e-23
"NE001005","Ingall","Agadez",14,1,0,-61256,1.13686837721616e-13,1.85592983090009e-16,1.2924697071141e-26
"NE001006","Tchirozerine","Agadez",393,18,61.6845595552859,34883.1108095701,20767.8233065804,59.5354680950151,431302484.893344
"NE002001","Bosso","Diffa",90,4,0,-35762.2057630366,5941.42971847854,16.6137115754184,35300587.09962
"NE002002","Diffa","Diffa",403,18,20.7094577408391,-5838.9706551455,14478.8058717741,247.968464424716,209635819.47252
"NE002003","Goudoumaria","Diffa",222,9,0,-26565.7643119672,10461.5902638375,39.3799709317032,109444870.848419
"NE002004","Maïné Soroa","Diffa",241,10,13.7687823097827,-24398.0232072323,11164.8507285395,45.7612923543329,124653891.79057
"NE002005","N'Gourti","Diffa",40,3,0,-22143.2612879408,25501.5765503234,115.166308244809,650330406.552004
"NE002006","N'Guigmi","Diffa",120,7,40.8148704690449,-2285.89364067473,23321.9037749029,1020.25323313025,543911195.685828
"NE003001","Boboye","Dosso",200,9,0,-46906.2594986792,3731.81104006137,7.95589134573062,13926413.6387239
"NE003002","Dioundiou","Dosso",70,3,0,-45951.4166818188,2487.05069368371,5.41234824359124,6185421.15295264
"NE003003","Dogondoutchi","Dosso",216,11,12.7676301089981,-43866.9918655146,6544.35497781053,14.918631753629,42828582.0755934
"NE003004","Dosso","Dosso",300,13,17.0463674272263,-22736.1888686326,15581.0841253331,68.5298851771467,242770182.520707
"NE003005","Falmey","Dosso",47,2,0,-48287.3687015876,10.8968325346592,0.022566631455942,118.740959288407
"NE003006","Gaya","Dosso",158,7,20.9221759290498,-645.226755930422,14918.033778227,2312.06062692101,222547731.808322
"NE003007","Loga","Dosso",132,6,9.74442350604354,-49506.6583769914,3446.80966952962,6.96231533803452,11880496.8979629
"NE003008","Tibiri","Dosso",164,7,0,-42059.1072769158,5057.69869112295,12.0252164598341,25580316.0501868
"NE004001","Aguié","Maradi",96,4,0,-28135.603738253,13177.1537951275,46.834444775791,173637382.140443
"NE004002","Bermo","Maradi",99,5,0,-49331.4176181521,3054.70881091985,6.1922177760321,9331245.91951136
"NE004003","Dakoro","Maradi",255,11,6.24739080604901,-34752.8268564092,9871.96686812648,28.4062269492931,97455729.845387
"NE004004","Gazaoua","Maradi",115,5,0,-24274.3158707799,14827.1851962945,61.0817840355397,219845420.845215
"NE004005","Guidan Roumdji","Maradi",316,13,3.7455730763904,-40414.0556218044,5053.46067784495,12.5042156747032,25537464.8225251
"NE004006","Madarounfa","Maradi",265,11,7.02269387977176,-18592.0183779078,8641.51486583342,46.4797026884494,74675779.1764199
"NE004007","Ville de Maradi","Maradi",188,8,100,86594.8269018925,13111.228244281,15.1408908746193,171904306.073632
"NE004008","Mayahi","Maradi",265,11,0,-51802.8320733445,2456.36289645288,4.74175406660213,6033718.6790704
"NE004009","Tessaoua","Maradi",282,12,8.33482131941885,-43113.5738971186,7857.14656890071,18.2242988893709,61734752.2051882
"NE005001","Abalak","Tahoua",141,6,18.1673523383046,-38838.3719162181,16664.9948214681,42.9085824128204,277722052.39956
"NE005002","Bagaroua","Tahoua",24,1,0,-51421.2916666667,4.83169060316875e-12,9.39628400330684e-15,2.33452340847492e-23
"NE005003","Birni N'Konni","Tahoua",95,4,63.061767560433,47882.9251643172,44115.5611852322,92.1321348556782,1946182738.68797
"NE005004","Bouza","Tahoua",220,9,0,-51536.8818668681,2378.33304593598,4.61481750502441,5656468.07739114
"NE005005","Illéla","Tahoua",172,7,9.54081254026979,-44040.4828646213,3667.26298947451,8.32702720528185,13448817.8339695
"NE005006","Keita","Tahoua",142,6,0,-42641.7563080122,5284.38148899041,12.3925043115485,27924687.7211845
"NE005007","Madaoua","Tahoua",235,10,19.2648371426663,-32638.1692645956,11515.6733038279,35.2828408066367,132610731.640494
"NE005008","Malbaza","Tahoua",202,9,0,-29374.7812119612,11554.1411828303,39.3335395401193,133498178.472775
"NE005009","Tahoua","Tahoua",190,8,0,-55142.2759777956,742.420402194308,1.34637243209414,551188.053594358
"NE005011","Tchintabaraden","Tahoua",100,4,0,-61115.734677309,1306.82109859335,2.13827274677031,1707781.38372874
"NE005012","Tillia","Tahoua",25,1,0,-59930.88,2.3874235921539e-12,3.98362846024271e-15,5.69979140837305e-24
"NE005013","Ville de Tahoua","Tahoua",98,4,100,60332.8636269354,8225.49197180396,13.6335182474775,67658718.1782114
"NE006001","Abala","Tillabéri",83,4,0,-46563.114511909,9188.54346621069,19.7335241908284,84429331.0304432
