"dept_id","ndvi_mean"
"NE001001",0.2438
"NE001002",0.4942
"NE001004",0.3045
"NE001005",0.5415
"NE001006",0.5702
"NE002001",0.1228
"NE002002",0.3641
"NE002003",0.5462
"NE002004",0.3757
"NE002005",0.3283
"NE002006",0.5784
"NE003001",0.3267
"NE003002",0.4388
"NE003003",0.3863
"NE003004",0.1515
"NE003005",0.5499
"NE003006",0.223
"NE003007",0.121
"NE003008",0.264
"NE004001",0.5773
"NE004002",0.5448
"NE004003",0.4464
"NE004004",0.4203
"NE004005",0.5971
"NE004006",0.4279
"NE004007",0.4543
"NE004008",0.372
"NE004009",0.3971
"NE005001",0.2446
"NE005002",0.1736
"NE005003",0.5815
"NE005004",0.5511
"NE005005",0.4454
"NE005006",0.4977
"NE005007",0.1123
"NE005008",0.3389
"NE005009",0.4792
"NE005011",0.2082
"NE005012",0.2591
"NE005013",0.2158
"NE006001",0.1714
"NE006002",0.3073
"NE006003",0.3069
"NE006004",0.2844
"NE006006",0.1762
"NE006007",0.1694
"NE006008",0.2165
"NE006009",0.333
"NE006010",0.233
"NE006011",0.5289
"NE006012",0.1229
"NE006013",0.3211
"NE007001",0.4995
"NE007002",0.1609
"NE007003",0.3805
"NE007004",0.2033
"NE007005",0.1638
"NE007006",0.4767
"NE007007",0.5475
"NE007008",0.2872
"NE007009",0.4326
"NE007010",0.1474
"NE007011",0.292
"NE008001",0.2372
