"dept_id","dept_name","n_clusters","flag_1cluster","urban_pct","ndvi_mean","direct_mean","eblup","se_direct","se_eblup","cv_direct","cv_eblup","gamma","cv_gain","resid"
"NE003006","Gaya",7,0,20.9221759290498,0.223,-645.226755930422,-16732.8896084738,14918.033778227,5500.98082203452,2312.06062692101,32.8752591497928,0.127175440308295,2279.18536777122,16087.6628525434
"NE002006","N'Guigmi",7,0,40.8148704690449,0.5784,-2285.89364067473,13613.6440916752,23321.9037749029,5999.1931753196,1020.25323313025,44.0675041518688,0.0562629465441393,976.185728978381,-15899.5377323499
"NE002002","Diffa",18,0,20.7094577408391,0.3641,-5838.9706551455,-10976.5135886831,14478.8058717741,5510.82831578094,247.968464424716,50.2056347059292,0.133959141503326,197.762829718787,5137.54293353764
"NE007007","Mirriah",18,0,43.2324476752052,0.5475,10688.290840776,24261.0568265771,18812.2779070583,6021.75998190208,176.008289700437,24.8206828950067,0.0839349802260032,151.18760680543,-13572.7659858011
"NE006012","Tillabéri",6,0,14.2846466696927,0.1229,-13661.0931900157,-21299.681568466,23619.7519822093,5695.37780951141,172.897963974596,26.7392627030789,0.0549303796967509,146.158701271517,7638.58837845033
"NE002005","N'Gourti",3,0,0,0.3283,-22143.2612879408,-40211.5790401118,25501.5765503234,5719.40133540509,115.166308244809,14.2232696947809,0.0474934142044691,100.943038550028,18068.317752171
"NE005003","Birni N'Konni",4,0,63.061767560433,0.5815,47882.9251643172,55292.8168433651,44115.5611852322,6771.11578830788,92.1321348556782,12.2459230237614,0.0163885089139147,79.8862118319168,-7409.89167904791
"NE006008","Kollo",8,0,5.3246971789536,0.2165,-17071.1976746333,-18647.2074670754,15188.4661057517,5792.61330221312,88.9712977099479,31.0642401144563,0.123240166664118,57.9070575954916,1576.0097924421
"NE004004","Gazaoua",5,0,0,0.4203,-24274.3158707799,-40235.1080760416,14827.1851962945,5470.76145659507,61.0817840355397,13.5969846191433,0.128537730838112,47.4847994163964,15960.7922052617
"NE003004","Dosso",13,0,17.0463674272263,0.1515,-22736.1888686326,-23302.764330812,15581.0841253331,5501.04295763029,68.5298851771467,23.6068256947376,0.117830125982307,44.9230594824091,566.57546217944
