"cluster","weight","region","urban","wealth"
1,1.992195,"Zinder",0,-34581
1,1.992195,"Zinder",0,-57130
1,1.992195,"Zinder",0,-57976
1,1.992195,"Zinder",0,-62192
1,1.992195,"Zinder",0,-59985
1,1.992195,"Zinder",0,-61522
1,1.992195,"Zinder",0,-61911
1,1.992195,"Zinder",0,-38590
1,1.992195,"Zinder",0,-60553
1,1.992195,"Zinder",0,-54458
1,1.992195,"Zinder",0,-59843
1,1.992195,"Zinder",0,-38333
1,1.992195,"Zinder",0,-61441
1,1.992195,"Zinder",0,-63765
1,1.992195,"Zinder",0,-40533
1,1.992195,"Zinder",0,-29667
1,1.992195,"Zinder",0,-40647
1,1.992195,"Zinder",0,-40891
1,1.992195,"Zinder",0,-41585
2,1.249986,"Zinder",0,-38850
2,1.249986,"Zinder",0,-51557
2,1.249986,"Zinder",0,-24398
2,1.249986,"Zinder",0,-9793
2,1.249986,"Zinder",0,-51063
2,1.249986,"Zinder",0,-53869
2,1.249986,"Zinder",0,-55846
2,1.249986,"Zinder",0,-33000
2,1.249986,"Zinder",0,119697
2,1.249986,"Zinder",0,-56320
2,1.249986,"Zinder",0,-44150
2,1.249986,"Zinder",0,-29749
2,1.249986,"Zinder",0,-18402
2,1.249986,"Zinder",0,-37383
2,1.249986,"Zinder",0,-25989
2,1.249986,"Zinder",0,-64178
2,1.249986,"Zinder",0,-16194
2,1.249986,"Zinder",0,-52666
2,1.249986,"Zinder",0,-34875
2,1.249986,"Zinder",0,-33099
2,1.249986,"Zinder",0,-59486
3,1.747653,"Zinder",0,-60310
3,1.747653,"Zinder",0,-59966
3,1.747653,"Zinder",0,-61481
3,1.747653,"Zinder",0,-50781
3,1.747653,"Zinder",0,-55843
3,1.747653,"Zinder",0,-58260
3,1.747653,"Zinder",0,-66869
3,1.747653,"Zinder",0,-65447
3,1.747653,"Zinder",0,-52583
3,1.747653,"Zinder",0,-65758
3,1.747653,"Zinder",0,-58614
3,1.747653,"Zinder",0,-57815
3,1.747653,"Zinder",0,-60943
3,1.747653,"Zinder",0,-52250
3,1.747653,"Zinder",0,-60795
3,1.747653,"Zinder",0,-63163
3,1.747653,"Zinder",0,-56315
3,1.747653,"Zinder",0,-59483
3,1.747653,"Zinder",0,-63470
3,1.747653,"Zinder",0,-56694
3,1.747653,"Zinder",0,-59675
3,1.747653,"Zinder",0,-56974
3,1.747653,"Zinder",0,-64153
3,1.747653,"Zinder",0,-66008
3,1.747653,"Zinder",0,-54049
4,1.248772,"Maradi",0,-54601
4,1.248772,"Maradi",0,-49750
4,1.248772,"Maradi",0,-55769
4,1.248772,"Maradi",0,-61023
4,1.248772,"Maradi",0,-33803
4,1.248772,"Maradi",0,-58304
4,1.248772,"Maradi",0,-59637
4,1.248772,"Maradi",0,-55696
4,1.248772,"Maradi",0,-50161
4,1.248772,"Maradi",0,-58531
4,1.248772,"Maradi",0,-62510
4,1.248772,"Maradi",0,-61339
4,1.248772,"Maradi",0,-55175
4,1.248772,"Maradi",0,-59062
4,1.248772,"Maradi",0,-61918
4,1.248772,"Maradi",0,-47258
4,1.248772,"Maradi",0,-55735
4,1.248772,"Maradi",0,-46309
4,1.248772,"Maradi",0,-5852
4,1.248772,"Maradi",0,-59159
4,1.248772,"Maradi",0,-61149
4,1.248772,"Maradi",0,-59091
4,1.248772,"Maradi",0,-57458
5,0.90858,"Diffa",0,-33265
5,0.90858,"Diffa",0,12354
5,0.90858,"Diffa",0,-2090
5,0.90858,"Diffa",0,-42529
5,0.90858,"Diffa",0,-35275
5,0.90858,"Diffa",0,-17422
5,0.90858,"Diffa",0,8333
5,0.90858,"Diffa",0,-7973
5,0.90858,"Diffa",0,-57557
5,0.90858,"Diffa",0,85827
5,0.90858,"Diffa",0,-10031
5,0.90858,"Diffa",0,103214
5,0.90858,"Diffa",0,-31631
5,0.90858,"Diffa",0,-10788
5,0.90858,"Diffa",0,32805
5,0.90858,"Diffa",0,-56281
5,0.90858,"Diffa",0,33606
5,0.90858,"Diffa",0,27596
5,0.90858,"Diffa",0,23023
5,0.90858,"Diffa",0,-15908
5,0.90858,"Diffa",0,13428
5,0.90858,"Diffa",0,-28673
5,0.90858,"Diffa",0,137507
5,0.90858,"Diffa",0,-59581
5,0.90858,"Diffa",0,-12467
6,2.477351,"Tahoua",0,-18413
6,2.477351,"Tahoua",0,-62151
6,2.477351,"Tahoua",0,-38443
6,2.477351,"Tahoua",0,-33924
6,2.477351,"Tahoua",0,-53746
6,2.477351,"Tahoua",0,-66434
6,2.477351,"Tahoua",0,-55740
6,2.477351,"Tahoua",0,-55774
6,2.477351,"Tahoua",0,-58654
6,2.477351,"Tahoua",0,-49094
6,2.477351,"Tahoua",0,-60191
6,2.477351,"Tahoua",0,-58946
6,2.477351,"Tahoua",0,-55821
6,2.477351,"Tahoua",0,-57084
6,2.477351,"Tahoua",0,-59233
6,2.477351,"Tahoua",0,-36204
6,2.477351,"Tahoua",0,-36436
6,2.477351,"Tahoua",0,-58479
6,2.477351,"Tahoua",0,-56563
6,2.477351,"Tahoua",0,-59437
6,2.477351,"Tahoua",0,-53395
6,2.477351,"Tahoua",0,-61109
6,2.477351,"Tahoua",0,-51916
6,2.477351,"Tahoua",0,-48090
7,1.008851,"Tahoua",1,-16310
7,1.008851,"Tahoua",1,-27270
7,1.008851,"Tahoua",1,-10647
7,1.008851,"Tahoua",1,-39069
7,1.008851,"Tahoua",1,-32615
7,1.008851,"Tahoua",1,35316
7,1.008851,"Tahoua",1,-43395
7,1.008851,"Tahoua",1,-3265
7,1.008851,"Tahoua",1,2075
